터미널,출발,요금(어른),소요시간
춘천시외버스터미널,10:05,"21,800 원",03:40
춘천시외버스터미널,15:35,"21,800 원",03:40
춘천시외버스터미널,16:05,"21,800 원",03:40
춘천시외버스터미널,18:15,"21,800 원",03:40
충주공용버스터미널,출발,요금(어른),소요시간
충주공용버스터미널,07:10,"11,000 원",01:36
충주공용버스터미널,09:10,"11,000 원",01:36
충주공용버스터미널,13:50,"11,000 원",01:35
충주공용버스터미널,16:10,"11,000 원",01:35
충주공용버스터미널,20:00,"11,000 원",01:35
태백시외버스터미널,출발,요금(어른),소요시간
태백시외버스터미널,17:20,"31,600 원",02:51
통영종합버스터미널,출발,요금(어른),소요시간
통영종합버스터미널,08:00,"29,600 원",03:06
통영종합버스터미널,10:30,"29,600 원",03:06
통영종합버스터미널,17:00,"29,600 원",03:06
평택대앞,출발,요금(어른),소요시간
평택시외버스터미널,출발,요금(어른),소요시간
평택시외버스터미널,07:22,"6,100 원",01:22
평택시외버스터미널,09:03,"6,100 원",01:07
평택시외버스터미널,09:45,"6,100 원",01:22
평택시외버스터미널,10:28,"6,100 원",01:22
평택시외버스터미널,11:20,"6,100 원",01:16
평택시외버스터미널,12:34,"6,100 원",01:22
평택시외버스터미널,12:55,"6,100 원",01:07
평택시외버스터미널,13:54,"6,100 원",01:22
평택시외버스터미널,14:27,"6,100 원",01:16
평택시외버스터미널,15:38,"6,100 원",01:22
평택시외버스터미널,16:15,"6,100 원",01:16
평택시외버스터미널,17:10,"6,100 원",01:22
평택시외버스터미널,18:05,"7,900 원",01:16
평택시외버스터미널,18:57,"6,100 원",01:22
평택시외버스터미널,19:30,"6,100 원",01:07
하남시버스환승공영차고지,출발,요금(어른),소요시간
하남시버스환승공영차고지,07:00,"11,000 원",01:59
하남시버스환승공영차고지,13:15,"11,000 원",01:59
해운대시외버스터미널,출발,요금(어른),소요시간
해운대시외버스터미널,08:00,"32,200 원",03:56
홍천터미널,출발,요금(어른),소요시간
홍천터미널,10:05,"18,500 원",03:00
홍천터미널,15:35,"18,500 원",03:00
홍천터미널,16:05,"18,500 원",03:00
홍천터미널,18:15,"18,500 원",03:00
횡성시외버스터미널,출발,요금(어른),소요시간
횡성시외버스터미널,10:05,"13,700 원",02:00
횡성시외버스터미널,15:35,"13,700 원",02:00
횡성시외버스터미널,16:05,"13,700 원",02:00
횡성시외버스터미널,18:15,"13,700 원",02:00
